,0,1,2
0,-0.0012167991,-0.036526266,0.0007486561
1,-0.041963864,0.020366356,-0.01597438
2,0.010027251,-0.0063126674,0.006472665
3,-0.005038088,0.022706369,0.012575788
4,0.03542472,0.0317964,0.013195854
5,0.057720967,0.024939293,0.02297537
6,0.049569435,-0.01611287,0.011115822
7,0.009054799,-0.0048290123,-0.0013071249
8,0.010650375,0.011832916,0.010087789
9,0.047502637,0.022344597,0.006170373
10,-0.02105119,0.013914969,-0.004165411
11,-0.01882494,0.0011949528,-0.01191367
12,-0.044665705,-0.007371905,-0.012812939
13,0.0052986396,0.023000838,0.0034889632
14,0.047291826,0.012372992,0.012789975
15,0.045139022,0.023149315,0.009483572
16,0.018204102,0.014455069,0.007915995
17,-0.031058723,-0.032822438,-0.016577663
18,0.025311368,-0.0033798802,0.009976934
19,-0.01858072,-0.025168143,-0.0068457657
20,0.02988459,0.0113617275,0.008210464
21,-0.062901914,-0.033688165,-0.021978263
22,0.051086828,0.006800425,0.014729514
23,0.017081838,0.0030635614,0.004430773
24,0.01101254,-0.002924333,-0.0011000154
25,-0.028621836,-0.010649649,-0.0023141052
26,0.050716113,0.007071601,0.017209157
27,0.042856455,0.018680427,0.018020397
28,0.03794734,-0.00898115,0.007905856
29,-0.026019083,-0.0518227,-0.011443608
30,-0.03415821,-0.032594856,-0.012570822
31,-0.028685823,-0.015115399,-0.019426025
32,-0.049979325,-0.019234682,-0.019516764
33,-0.037712485,-0.012799717,-0.013434168
34,-0.02134149,0.01088808,-0.007461427
35,0.02340177,-0.0064266804,-0.0035987566
36,-0.0012829585,0.027399212,0.0017946446
37,-0.042221643,-0.011363313,-0.0046324753
38,-0.03214351,0.009030508,-0.012214409
39,-0.033141248,-0.026561515,-0.015978152
40,0.039649323,0.0032206716,0.010380074
41,-0.040947516,0.00012481405,-0.0047382396
42,-0.07621232,-0.049706914,-0.021238979
43,-0.021520745,0.013923452,-0.0017768055
44,-0.015052888,-0.011007066,-0.004902343
45,-0.020750642,0.005163807,0.0007191029
46,-0.028131913,-0.01270355,-0.0012751569
47,-0.040897567,-0.012380202,-0.009354304
48,-0.033855755,-0.008965579,-0.0028679892
49,-0.020167023,-0.002783088,0.0015804475
50,-0.023495328,0.0012821117,-0.0040753437
51,0.04587555,0.032797635,0.024248028
52,0.010876522,0.035457574,0.0061477087
53,0.036860567,0.014773692,0.007548443
54,0.070902884,0.045819893,0.02194106
55,0.031150244,0.031322755,0.005236086
56,0.015860878,-0.016250836,0.0018508864
57,0.02858717,-0.004435033,0.014421713
58,-0.017842822,-0.030150669,-0.0034518244
59,-0.018968578,-0.011179868,0.00380815
60,0.004819549,0.000426104,0.008802449
61,0.026658067,0.04000907,0.01696641
62,0.031480562,0.014783751,0.010800556
63,0.036424603,0.035540532,0.01441223
64,0.094893314,0.017025845,0.024209088
65,-0.01353579,0.0023049377,-0.0068339063
66,-0.024960376,0.008361391,-0.008565698
67,-0.05020502,-0.026055932,-0.010025672
68,-0.02568455,-0.0025138247,-0.011939515
69,-0.019957595,0.012723136,-0.0013143931
70,-0.03269414,0.030749917,-0.0053857258
71,-0.0065860925,0.016584642,-0.010333163
72,-0.0471139,-0.006817686,-0.019055335
73,-0.037726257,-0.00497671,-0.008994691
74,-0.053608786,-0.022688834,-0.017544251
75,-0.014459829,0.0062571545,-0.004333654
76,-0.039169423,-0.0080520725,-0.01120731
77,-0.022727119,0.022662364,-0.0016357421
78,-0.03982995,-0.0090167085,-0.014599863
79,-0.018782752,0.026143197,0.0037065917
80,0.01006002,-0.0063219503,0.010444818
81,-0.045249753,0.008283694,-0.013340152
82,-0.034533184,-0.014912334,-0.008572719
83,0.04939191,0.0098118745,0.005784259
84,-0.026043141,-0.030670537,-0.011802822
85,0.03179669,0.014643451,0.0069971834
86,-0.033518985,-0.02071028,-0.0149119785
87,0.009741329,0.0061026574,0.0024230687
88,-0.0249788,-0.019837959,-0.01497391
89,0.025989292,0.04452811,0.016904881
90,-0.0018397019,-0.00576812,-0.002295655
91,0.028416412,0.0017782655,0.011635338
92,-0.06672088,-0.038157012,-0.018700475
93,-0.014035342,0.023223402,-0.0064535406
94,-0.044127848,-0.0053387433,-0.022220049
95,0.016834902,0.00245668,0.008235027
96,0.058096748,0.020610016,0.008475963
97,0.03552623,0.0030721563,0.009130334
98,0.01806105,0.029365754,0.009447296
99,0.0140510965,-0.009326325,0.012366545
