0,1,2
0.008947565766666667,-0.0026143511999999996,0.004483938000000001
-0.010811505,-0.010260203066666668,0.0006281411
-0.032491268999999996,-0.0119293439,-0.009567158333333332
-0.034606739666666664,-0.001455514333333333,-0.0091906367
0.0010401853333333322,-0.017419518666666665,-0.003258869333333333
-0.023758181666666666,-0.028771063333333333,-0.0018585583999999999
0.015685549966666667,-0.01575323266666667,-0.00011050619999999993
-0.024043538333333333,-0.029557228799999998,-0.005346206266666667
-0.025636878000000002,-0.015510824833333332,-0.006253968833333334
-0.01896317133333333,0.0035161901899999994,-0.003324339076666667
-0.028252605,-0.0068615230000000004,-0.006975947166666667
-0.020345189166666666,-0.006096842666666667,-0.003079977
-0.02258097566666667,-0.008356003,-0.0045757041666666665
-0.011982979333333333,-0.023866796666666665,-0.009907410666666666
-0.019437554666666666,-0.013577755500000002,-0.0007587950000000002
-0.028795754666666663,-0.018868924666666665,-0.003493638466666666
-0.0065913057666666655,-0.008082329266666665,-0.0054711314333333325
0.008293597233333333,-0.008010266466666667,-0.0006268264000000001
-0.0116703342,-0.008278146833333333,-0.0004323235333333336
-0.026668947666666668,-0.010750562566666668,-0.011271386566666666
0.0014252936666666674,0.003681366433333333,0.0024895287333333333
0.01730313786666667,-0.0001933973333333337,0.006386464666666667
-0.022859030000000002,-0.023563877666666667,-0.011624958933333332
0.021276499666666667,-0.006983696166666667,0.0043292232
0.015814741333333333,0.0067404174666666665,0.003831361906666667
-0.011986549256666666,-0.004625839366666666,0.0021108219666666666
-0.0012379976666666663,0.0006602630000000007,-0.0009593905666666668
-0.005583309666666667,-0.0038971796999999996,0.002124418333333333
0.009001404666666667,-0.006048086166666667,0.0031540506666666666
-0.007624740333333334,-0.008200869933333334,0.0008866360999999998
0.010004764433333332,0.011098589366666666,0.007642437666666666
0.015303998020000001,-0.002074223,0.0011060308333333336
-0.0003785379000000001,-0.0103252982,-0.0009289657666666667
0.011525239733333336,0.012365643666666667,0.009054707833333333
-0.0098038028,0.0014399710333333332,-0.0036456952666666666
-0.004320039166666667,-0.011049907233333335,0.001897576466666667
-0.008136453133333334,-0.0033386603666666665,0.0022634469999999996
0.0029653489999999986,0.0037677406666666653,0.00014015356666666678
0.0101691587,-0.015358553666666669,0.0015873295666666669
0.025147456666666665,0.010418373833333333,0.010361676
-0.027891620000000002,-0.026537364666666664,-0.007735100333333332
-0.014519780733333335,-0.010915507999999999,-0.0060252418
0.013459167633333333,-0.0004734743666666667,0.0057798584999999994
-0.021866537666666668,-0.0131680645,-0.0074710991
0.0014701048666666662,-0.002977283666666667,0.002014044833333333
0.004073081333333333,0.012880258333333333,0.0030346781333333334
0.014782259899999999,-0.021593634299999998,-0.0013501831
0.02364950266666667,-0.016983095133333334,0.005997197766666667
-0.028573452666666666,-0.021974671,-0.007076064
-0.018032934733333335,-0.01900805313333333,0.0002139395000000001
-0.0011211186666666665,-0.024517955999999997,-0.0040907761666666665
-0.006491652399999999,-0.011103207933333331,0.0038083540933333327
-0.001309366033333333,-0.012348001333333332,0.0006453399999999998
-0.033911086,-0.018846089333333333,-0.010854499333333335
-0.006039066666666666,0.005237556,0.0012565232666666662
-0.012944980833333333,-0.008265832533333333,-0.003827841553333333
-0.016726923933333335,-0.0085096079,-0.006995950933333332
-0.02942463766666667,-0.0073661483333333335,-0.0100005561
-0.017900538,-0.0021880591333333335,-0.005178172466666666
-0.031612317333333334,-0.027035704000000004,-0.005838675969999999
0.007035200533333333,-0.005072002,0.0015797022
-0.004872237333333333,-0.002303242833333334,0.0012571652466666665
-0.029000068933333335,-0.007400312666666666,-0.0077101094999999994
-0.014344385223333334,-0.008207845,-0.002545403633333333
-0.020027174999999998,-0.0011313323333333335,-0.004259299966666667
-0.037191674333333334,-0.0190092586,-0.005726345133333334
-0.022390296333333334,0.005361392766666666,-0.006236095666666666
-0.020331385166666664,-0.009559891308,-0.0067189636
-0.004107472666666666,0.008853122366666667,-0.0007950830666666667
-4.535232000000012e-05,-0.01881299615,0.0005996875799999997
0.0026357869000000005,-0.0019726785,-0.0009330057333333332
-0.004162652833333333,-0.026927092,-0.0015918536999999996
0.007432570721666667,-0.0007100131033333333,-0.0006240940000000001
-0.009860469333333335,-0.015444920566666666,-0.004765141749999999
-0.029498807,-0.010291834233333333,-0.0065940980000000005
-0.030244231333333333,-0.016447610666666668,-0.0077920078
-0.036002845666666665,-0.0185247385,-0.0086059353
0.0066861376333333345,0.0033265281,0.0106732249
