score	X_name	y_name
0.26477224163279456	SC	social
0.45672913321156905	SC	social
0.24275352000314787	SC	social
0.342589423226205	SC	social
0.30138482977969505	SC	social
0.48441106384762833	SC	social
-0.06821083407306248	SC	social
-0.05957651244295881	SC	social
0.11200979512229216	SC	social
0.2039994550963538	SC	social
0.5957682806678776	SC	social
0.17195897145208053	SC	social
-0.2047386369884386	SC	social
-0.29089678575032796	SC	social
0.409294924223697	SC	social
0.5439035229566882	SC	social
0.2988005392557008	SC	social
0.18400466412253635	SC	social
0.3947550031388454	SC	social
0.40795155951404694	SC	social
0.17161373905715263	SC	social
0.2190124643554691	SC	social
0.31974260586256453	SC	social
0.48258940813893425	SC	social
0.3539256346282603	SC	social
0.2008866400494058	SC	social
-0.15168440010175305	SC	social
-0.36463368885546527	SC	social
0.3226600113700761	SC	social
0.4396062451700196	SC	social
0.42595231362233943	SC	social
0.3419342508249502	SC	social
0.3663774665799567	SC	social
0.34325374832244715	SC	social
0.28834190471585336	SC	social
0.36179199711245774	SC	social
0.45424549157810223	SC	social
0.1379017984800623	SC	social
0.2325686296025332	SC	valuation
0.40492961250042697	SC	valuation
0.21776243971422568	SC	valuation
0.21433983217722571	SC	valuation
0.4766873414223025	SC	valuation
0.1985473459794104	SC	valuation
-0.04343882242877806	SC	valuation
0.26395573715541915	SC	valuation
0.48050864026913637	SC	valuation
0.3530362169823203	SC	valuation
-0.0033444331728766734	SC	valuation
0.02652494857181901	SC	valuation
-0.2193283337260937	SC	valuation
0.40436867413477745	SC	valuation
0.4259870647202945	SC	valuation
0.12368985255040192	SC	valuation
0.19911925168160788	SC	valuation
-0.042954223865406406	SC	valuation
0.09275482895450358	SC	valuation
-0.30519018145953836	SC	valuation
0.3716727147465996	SC	valuation
0.4620379590203369	SC	valuation
0.1139028948174088	SC	valuation
0.41255450870451926	SC	valuation
-0.0013518325023450543	SC	valuation
0.17858277167451023	SC	valuation
0.03261090268008432	SC	valuation
0.3142370815071951	SC	valuation
-0.07184500064739818	SC	valuation
0.3021611679017901	SC	valuation
0.11703660896947629	SC	valuation
0.09022801538376331	SC	valuation
0.06204946459492984	SC	valuation
0.3566167098025666	SC	valuation
0.3304743127565628	SC	valuation
