participant_id	n_clusters	silhouette_score	davies_bouldin_score	calinski_harabasz_score
HCA6010538	2	0.22927272	1.6396462440481157	591.7311477580073
HCA6010538	3	0.1968623	1.6417294568139118	484.1515169030782
HCA6010538	4	0.18109418	1.6933591928966147	430.6459453091795
HCA6010538	5	0.18619339	1.607180817146666	395.1274830806802
HCA6010538	6	0.17478473	1.559888090239369	370.80093042088737
HCA6051047	2	0.2613258	1.4486893823992937	752.1920358460479
HCA6051047	3	0.18018793	1.706223667904089	570.7708425419481
HCA6051047	4	0.1898277	1.5729180658083477	500.2076693413808
HCA6051047	5	0.16460043	1.6592721415353373	441.2447539739106
HCA6051047	6	0.15638381	1.7114896548558085	392.8714126121323
HCA6054457	2	0.3687321	1.0243183636003732	1347.0833500534816
HCA6054457	3	0.31848738	1.063166458957035	1298.309708594867
HCA6054457	4	0.26227182	1.2088592521836956	1140.4163288609425
HCA6054457	5	0.22258644	1.3292716603020276	992.1059824236456
HCA6054457	6	0.2461883	1.192415039204919	911.9157707232677
HCA6058970	2	0.20128639	1.9725134530653492	407.7478187757061
HCA6058970	3	0.19905823	1.7275874315468365	400.4540670788252
HCA6058970	4	0.18205854	1.578659813709549	376.9227506100058
HCA6058970	5	0.17559429	1.6943415121860042	334.1223218052867
HCA6058970	6	0.17772752	1.67123343656901	307.9064056915373
HCA6061757	2	0.43978417	1.18330842266611	521.251753845097
HCA6061757	3	0.23020235	1.4241490529940204	559.2704187340506
HCA6061757	4	0.21977285	1.4490820124055104	508.0088596168464
HCA6061757	5	0.18096	1.4972759802031548	461.4468906148068
HCA6061757	6	0.18321174	1.4471105978797751	423.7021350380644
HCA6062456	2	0.3865523	0.9704702747586011	1623.1648232648563
HCA6062456	3	0.288019	1.1655422944025748	1321.5365261945365
HCA6062456	4	0.28837126	1.1901063108920404	1083.5027950489753
HCA6062456	5	0.24155937	1.2726020530070268	983.59491638628
HCA6062456	6	0.20371477	1.459203729296174	877.2368728545869
HCA6075263	2	0.22177742	1.711521507432522	488.2199435661092
HCA6075263	3	0.180974	1.8415543934996368	407.2187797836751
HCA6075263	4	0.19234991	1.6745867070077278	367.2375071117965
HCA6075263	5	0.17431845	1.75683058079718	333.88887391060297
HCA6075263	6	0.16066302	1.8083290970608612	308.68381167860275
HCA6086369	2	0.42861527	0.9064508181513224	1736.005845523144
HCA6086369	3	0.34953296	1.0034535603247698	1531.2176008040983
HCA6086369	4	0.38903582	0.8617337426618861	1617.684284668337
HCA6086369	5	0.34028643	0.9192893036514936	1534.0607325053952
HCA6086369	6	0.32588288	1.0258537916296813	1452.5623582122312
HCA6086975	2	0.40476626	0.9494324420252296	1739.3883871723283
HCA6086975	3	0.29821402	1.2272324445084986	1356.5467739085736
HCA6086975	4	0.27984717	1.3538361754221055	1124.171996841789
HCA6086975	5	0.2471668	1.3549385309004234	996.7497854150878
HCA6086975	6	0.2381844	1.430564856098673	876.926583382153
HCA6089375	2	0.22373325	1.6556395209319887	567.9100812161969
HCA6089375	3	0.21597429	1.543153575356871	484.9924357763427
HCA6089375	4	0.19387637	1.5619516786859438	431.7348004803071
HCA6089375	5	0.19739552	1.5183493021024566	396.751257882057
HCA6089375	6	0.20411073	1.53130950131872	383.34997562478776
HCA6091766	2	0.23699544	1.5786677459599228	616.848611187136
HCA6091766	3	0.22605173	1.5444157217765069	548.7087498273631
HCA6091766	4	0.22139941	1.5815528476129082	508.04944587051904
HCA6091766	5	0.23398222	1.4508202591719992	473.7046212520224
HCA6091766	6	0.1954616	1.5069096371486703	439.496297292311
HCA6095572	2	0.25465506	1.4594738665176172	744.0657113928515
HCA6095572	3	0.1922298	1.6178041505324905	581.1862306978045
HCA6095572	4	0.1901632	1.698889541507702	468.8793129326498
HCA6095572	5	0.16128458	1.7361793580666385	416.7755028914551
HCA6095572	6	0.17374317	1.617876679738053	379.0122522006548
HCA6098073	2	0.32349887	1.2088119098869028	1030.943164280203
HCA6098073	3	0.29357442	1.226434880522392	902.2078696972638
HCA6098073	4	0.2786448	1.2341148348018756	853.1732015696658
HCA6098073	5	0.25762933	1.1764653181175553	770.2548377120174
HCA6098073	6	0.23146054	1.2637134656538	701.8822421869143
HCA6102038	2	0.35326096	1.120816819643619	1158.9295069857365
HCA6102038	3	0.27128208	1.2131281777806424	927.3188232955508
HCA6102038	4	0.27024302	1.1824979820317505	878.8167523531208
HCA6102038	5	0.28419286	1.0959772489249682	834.1998998157305
HCA6102038	6	0.22470687	1.2837475314198905	765.8499520783001
HCA6109658	2	0.24759498	1.7170406314480575	512.9404421641223
HCA6109658	3	0.23898387	1.5772356485882604	447.6941448444133
HCA6109658	4	0.23630902	1.5896183980433225	409.3582965050905
HCA6109658	5	0.22476296	1.5728058850732274	368.66856244134885
HCA6109658	6	0.19645679	1.5396533057050643	342.3160401520847
HCA6111241	2	0.33062872	1.2594087963313862	805.2551260089838
HCA6111241	3	0.25310186	1.3296424827054296	765.1326066634624
HCA6111241	4	0.22439766	1.282681778184356	718.6225641658108
HCA6111241	5	0.23386405	1.225939352729814	691.3752007729897
HCA6111241	6	0.22093298	1.3453714563757944	635.8802194336679
HCA6120646	2	0.30979344	1.3068466942474886	903.3473344452368
HCA6120646	3	0.28128976	1.263153288457884	779.3986628403164
HCA6120646	4	0.24635486	1.270377519838767	687.5455962098365
HCA6120646	5	0.2084545	1.3752375074570835	624.9191635665445
HCA6120646	6	0.2112525	1.3785861048241543	566.7744569053713
HCA6125050	2	0.42431945	0.936883360517182	1551.7703116017494
HCA6125050	3	0.3021662	1.1887439746868618	1254.442965846695
HCA6125050	4	0.27811903	1.197038922129293	1075.5625263670722
HCA6125050	5	0.2564139	1.232966672596261	976.0743177374108
HCA6125050	6	0.2300741	1.355885159553333	883.5048994617043
HCA6131449	2	0.31423005	1.241788476127241	968.2989818260533
HCA6131449	3	0.26379132	1.3741687460044945	773.5234375094893
HCA6131449	4	0.24469757	1.290258318893409	725.6129827554267
HCA6131449	5	0.213144	1.369195639204163	656.8349577198447
HCA6131449	6	0.21485648	1.3928276556239974	609.5033835660768
HCA6143557	2	0.368609	1.0264812188986798	1304.6317919046048
HCA6143557	3	0.3321784	1.009474072709845	1261.7000132721369
HCA6143557	4	0.26021755	1.255933654615189	1099.9899417240963
HCA6143557	5	0.21792227	1.369230959467023	963.60482518369
HCA6143557	6	0.22057022	1.4103887540523716	865.097029940116
HCA6144357	2	0.299474	1.2512767272187424	951.2237636316166
HCA6144357	3	0.24394286	1.4383826509136357	744.7505806432829
HCA6144357	4	0.2248431	1.3031662846320553	681.2527942671354
HCA6144357	5	0.22808656	1.3008298694888607	636.9245296176717
HCA6144357	6	0.22389556	1.32330753153605	609.0223898023177
HCA6165971	2	0.3636605	1.0586331480541524	1358.9006565992322
HCA6165971	3	0.30237564	1.147739872112168	1198.5427921856894
HCA6165971	4	0.28992662	1.2552184004703777	1029.4315413952604
HCA6165971	5	0.25465503	1.2062040132872145	929.7692980785054
HCA6165971	6	0.22503324	1.3031734923155638	851.0880574477105
HCA6176471	2	0.27181485	1.3654443606131326	773.3016533520388
HCA6176471	3	0.23176496	1.4121767627765116	668.8976737434785
HCA6176471	4	0.21232495	1.4436473985962577	582.8646871133152
HCA6176471	5	0.20354974	1.3956431985065696	550.568276388745
HCA6176471	6	0.20259412	1.3672394060395934	513.8558597112094
HCA6214958	2	0.30529553	1.321699260474166	873.7612814457309
HCA6214958	3	0.2855796	1.1993961183224726	828.5967145952305
HCA6214958	4	0.28440824	1.222580615813055	796.7803553157505
HCA6214958	5	0.29688013	1.2323671664465594	733.9676161933209
HCA6214958	6	0.24587364	1.3135546611273832	674.5749196316403
HCA6223050	2	0.263733	1.4922197399157788	683.3681317853807
HCA6223050	3	0.23524062	1.490493093567288	625.0156354447928
HCA6223050	4	0.22276787	1.5246973759049312	552.678102194833
HCA6223050	5	0.214748	1.4807923594489738	502.62743333189024
HCA6223050	6	0.20674574	1.5152001025525603	454.5923304395003
HCA6242054	2	0.37254712	1.0776257691742417	1283.3988060013148
HCA6242054	3	0.294652	1.1307871279655173	1077.8119044148957
HCA6242054	4	0.29412082	1.143281613359946	1034.3028193205064
HCA6242054	5	0.2720157	1.1102455712545942	979.9363603281528
HCA6242054	6	0.25774655	1.1526327410925616	924.5972919489716
HCA6249977	2	0.43545818	0.9151422036920412	943.0636041099918
HCA6249977	3	0.332847	1.235856386687724	895.0740496241214
HCA6249977	4	0.2608201	1.2307379755330985	786.6960923342104
HCA6249977	5	0.22405562	1.4897875804939131	698.9095952541103
HCA6249977	6	0.19851471	1.469521342221278	625.2680495907549
HCA6269377	2	0.3233093	1.2339679351802095	939.0897572333134
HCA6269377	3	0.34557685	1.0295031097862763	1093.8112874982428
HCA6269377	4	0.30502543	1.1477020363213992	957.8086180980894
HCA6269377	5	0.28264987	1.1042441636106235	907.8180216390728
HCA6269377	6	0.28239825	1.1048604479937698	851.0729192502039
HCA6283371	2	0.4427212	0.8781494717478953	1924.597275026699
HCA6283371	3	0.3741405	0.9903575927973212	1783.756372458835
HCA6283371	4	0.31782725	1.2271950166923355	1527.734622475748
HCA6283371	5	0.25888047	1.4099776963874109	1309.8736187908878
