n_clusters,silhouette_scores,davies_bouldin_scores
2,0.6905424801144902,0.4892801270754268
3,0.545582217137721,0.6130647530253968
4,0.5281913329000362,0.694816042588251
5,0.5179220666864582,0.6444305679671217
6,0.5137424696556825,0.6351442685726817
