,0,1,2
0,0.0046037575,0.004468204,-0.0056214607
1,0.03647369,0.019465938,0.011547415
2,-0.051598176,-0.008833178,-0.008549006
3,0.034494884,0.010430517,0.008961932
4,0.005710309,0.028969266,-0.0023958052
5,-0.0071625337,0.040215697,0.0014545491
6,-0.0009360882,0.007401063,0.002665301
7,-0.070701145,-0.0008330416,-0.013617387
8,-0.031279076,-0.020903606,-0.012690196
9,-0.030504925,-0.0030690194,-0.0002551676
10,-0.0053380216,0.009167648,-0.0029899979
11,0.038420137,-0.016002798,0.0053913943
12,-0.0336465,-0.020945398,-0.0074926205
13,-0.05685984,-0.01718877,-0.013919434
14,-0.00494414,-0.00699898,0.0010059067
15,-0.014548075,0.007691501,-0.01137455
16,-0.027533723,-0.013282226,-0.0043435246
17,-0.01244845,0.016930604,-0.003922141
18,-0.031383526,-0.023228677,-0.011290867
19,-0.04968558,-0.025994442,-0.018303603
20,-0.009150212,-0.0013957957,-0.0031381336
21,0.00092551316,-0.021848725,0.0041505885
22,-0.013849969,0.0071017295,0.0020350623
23,-0.011499701,0.024634032,-0.0059857266
24,-0.046680678,-0.0031739937,-0.0063546174
25,-0.013851314,0.011079363,-0.008502513
26,-0.027152294,-0.02393853,0.00016442584
27,-0.01692235,0.00036428048,-3.7385198e-06
28,-0.024181796,-0.010655218,-0.00017033938
29,-0.009486516,0.01562873,0.0014517722
30,-0.020318136,-0.02281167,-0.006025071
31,-0.00814807,-0.0055392575,-0.0044817817
32,-0.015256923,-0.012552905,0.0005821484
33,-0.042607144,0.019743754,-0.0048688306
34,-0.019862233,-0.0039627994,-0.0053861705
35,-0.024909746,-0.00656093,-0.002859111
36,0.008443954,-0.018106814,0.0054960004
37,-0.00513672,-0.012861085,-0.0014377837
38,0.03902271,-0.0029702499,0.0043005617
39,-0.028633755,0.014345407,-0.00359149
40,0.024377126,0.017373163,0.0037895746
41,-0.035985462,0.06443331,0.0010517973
42,-0.0060191248,-0.0015213678,-0.0026748283
43,0.011650333,0.009042995,0.002404706
44,0.025044307,-0.019883314,0.00580433
45,0.010583089,0.0098922495,0.0026027553
46,0.021993956,0.014520173,0.0085897
47,0.00011347952,-0.021380788,0.00020413772
48,-0.01013641,-0.011425189,-0.008053359
49,-0.05519882,0.02284472,-0.008160768
50,-0.02717963,-0.033661216,-0.008724747
51,-0.002716941,-0.027895931,-0.0065440256
52,0.0019064286,0.0092572635,0.0043523246
53,-0.05483527,0.010487909,-0.005551103
54,0.009816246,-0.034708686,-0.005963826
55,-0.05323306,-0.0040180483,-0.009459357
56,0.01628429,0.024041113,0.007851468
57,0.0015795961,-0.0026004242,-0.0067589357
58,-0.014269387,-0.017319288,-0.0046698037
59,0.030226644,0.01042772,0.00241965
60,0.0149616925,0.0026554042,0.003350107
61,0.00038526428,-0.015531379,-0.0016813604
62,-0.009376389,0.004478212,-0.0026191862
63,-0.021902617,-0.010414444,-0.0047205957
64,-0.018256206,-0.0072731497,-0.0040882747
65,-0.039796945,-0.006596437,-0.0127703445
66,-0.04316814,-0.00026667822,-0.008654671
