participant_id	n_clusters	silhouette_score	davies_bouldin_score	calinski_harabasz_score
HCD0001305	2	0.22913252	1.7645255368369512	464.98882519477394
HCD0001305	3	0.1838991	1.6925887955675565	422.29256114163786
HCD0001305	4	0.17882256	1.7767010174958315	361.82018472784046
HCD0001305	5	0.16046372	1.8155538666214883	324.89713532230616
HCD0001305	6	0.16103214	1.7029535543882135	301.8961011776964
HCD0021614	2	0.3227748	1.1490744356574836	1103.509499969418
HCD0021614	3	0.2574981	1.2921336931535723	905.8452619882174
HCD0021614	4	0.20932001	1.4746385587094415	763.6581210194114
HCD0021614	5	0.19425191	1.532333765098377	664.1019144707543
HCD0021614	6	0.20168738	1.5086729331997208	604.0262433090556
HCD0022919	2	0.2275933	1.614207390418193	568.5036367200216
HCD0022919	3	0.24981602	1.359858636355778	609.0903052917358
HCD0022919	4	0.24981129	1.4479174369401866	529.3820958688314
HCD0022919	5	0.21400979	1.3694380222580835	509.7143735036298
HCD0022919	6	0.19675986	1.440886099655135	472.8171139291392
HCD0040113	2	0.3497409	1.1125393961935377	1116.8562473565885
HCD0040113	3	0.22862728	1.3987115027787944	874.9368674321221
HCD0040113	4	0.22948149	1.3842616057020698	799.1127385740991
HCD0040113	5	0.22443427	1.3719234831358542	740.811957753618
HCD0040113	6	0.22306938	1.4318864250127108	660.1822276159609
HCD0075435	2	0.32166153	1.1662613368149175	1113.0765840438623
HCD0075435	3	0.26511627	1.2505112819644255	883.9661245396757
HCD0075435	4	0.2042321	1.492755930973814	741.911029172325
HCD0075435	5	0.22738591	1.3359946998311103	695.885509822024
HCD0075435	6	0.19367185	1.5075823114512144	623.3455233930621
HCD0110310	2	0.47954524	0.9647989746906812	1298.196426571301
HCD0110310	3	0.35653648	1.1128538632250196	1201.4113131074944
HCD0110310	4	0.36113438	1.0468604119687974	1084.499378729272
HCD0110310	5	0.26913494	1.250859514964539	971.4178769189488
HCD0110310	6	0.29494745	1.155716782285334	912.9524397804204
HCD0129937	2	0.22742535	1.707889274550333	525.6518350878961
