,0,1,2
0,-0.029654456,-0.0007830266,-0.0045346706
1,-0.04081181,0.00072374666,-0.0062385
2,0.024978738,-0.0045296308,0.01003904
3,-0.034439217,-0.0011609767,-0.006992095
4,-0.035928287,-0.032197166,-0.010849597
5,-0.03485548,0.01562722,-0.007928947
6,-0.02329865,0.00087718124,0.0038428204
7,-0.007951889,0.009109674,0.0025261734
8,0.017026383,0.008899077,-0.0025151444
9,-0.022806779,0.022827975,-0.006135533
10,-0.019930517,-0.009049989,-0.0038946948
11,-0.10513899,-0.035614032,-0.029358624
12,-0.02739151,-0.0016184472,-0.006224438
13,-0.04737901,-0.001395586,-0.014478866
14,-0.041865185,-0.026782358,-0.0076941145
15,-0.049054846,-0.0038980532,-0.017525114
16,-0.030731753,-0.001178699,-0.0025493477
17,-0.04832225,-0.016715165,-0.012968687
18,-0.05697933,0.005135678,-0.015186616
19,-0.025496114,0.010749883,-0.005219086
20,0.007311543,-0.0060046026,-0.0059733666
21,-0.043919742,0.013868149,-0.005729633
22,-0.023564544,-0.009125266,-0.003781379
23,-0.031211056,-0.004936479,-0.0044673206
24,-0.017905269,-0.0030747834,1.0486905e-05
25,-0.012839873,-0.0015534842,0.0034364164
26,-0.066822775,-0.0046603507,-0.01226919
27,-0.028737135,-0.0067577073,-0.0017846971
28,-0.0031736908,0.009827745,0.00073066575
29,-0.006759973,-0.0025417337,-0.0015436861
30,-0.0469212,0.014345821,-0.011799814
31,-0.0140929455,0.011429605,-0.0047012134
32,-0.035276804,-0.011292817,-0.011829853
33,-0.043854386,-0.017352104,-0.0063057938
34,-0.015630744,0.00045077136,-0.006556347
35,-0.046297334,-0.026708914,-0.0094589945
36,-0.037076782,-0.014388906,-0.0057035056
37,0.006444677,0.016552377,-0.0014575755
38,-0.019376086,-0.023255933,-0.0027948841
39,0.0061488384,0.023241227,0.00230563
40,-0.060714662,-0.032169852,-0.018271761
41,-0.008124905,-0.006813187,0.003836386
42,-0.04929075,-0.036306076,-0.009685292
43,-0.028233344,-0.0033709805,-0.013148414
44,-0.040125944,-0.006745649,-0.009580519
45,-0.043000583,-0.036646094,-0.013791884
46,-0.039966386,-0.018492965,-0.013157577
47,-0.038709015,-0.018642927,-0.0070856623
48,-0.036979817,0.0050430405,-0.0020993883
49,-0.029853668,-0.011056253,-0.0073674778
50,-0.0571583,0.020226626,-0.004631666
51,-0.027316032,0.007293254,-0.008872904
52,-0.03197352,0.027740559,-0.0053880997
53,-0.032871626,0.00623482,0.00019200168
54,-0.003488261,-0.011728879,-0.0066896994
55,-0.02824292,0.005135979,-0.0040937485
56,-0.008354194,0.00989864,-0.0043181777
57,-0.056545954,0.023815835,-0.0062277126
58,-0.019497296,0.023471976,0.0016858962
59,-0.034719557,0.0073308474,-0.0023199688
60,0.018126266,0.01808375,0.0024592709
61,-0.062048346,0.020870356,-0.010756106
62,-0.0063873497,-0.023103135,-0.00912126
63,-0.025934746,0.0027052339,0.0006652667
64,-0.045301106,-0.0073425374,-0.006263222
65,-0.03793617,-0.025336564,-0.014846475
66,-0.026743859,-0.010349202,-0.016069062
67,-0.04894477,0.026025765,-0.003326723
68,-0.026981473,0.0016419741,0.00050253375
69,-0.057608683,-0.0043909494,-0.008801531
70,-0.011884741,-0.01144946,-0.0080608865
71,-0.03607072,-0.00492495,-0.012551651
72,-0.025325965,0.00036262342,-0.009317668
73,-0.04932023,-0.012536011,-0.013250968
74,-0.03797135,-0.010835588,-0.0018664708
75,-0.021990325,-0.012843544,-0.012128751
76,-0.064438924,-0.01978492,-0.013146181
77,-0.032758895,-0.0046374253,-0.010059487
78,-0.04884618,-0.01403411,-0.017068814
79,-0.019844458,0.0027763268,-0.002163707
80,-0.028727543,0.0015783766,-0.0011208124
81,-0.023044802,0.010938424,-0.0006685503
82,-0.024802696,0.04372651,-0.0004726957
83,-0.02810821,-0.005350908,-0.0050550587
84,-0.025475102,-0.013181591,-0.006825749
85,-0.04521721,0.010509801,-0.0056550596
86,-0.008423109,0.006007921,-0.005997655
87,-0.035655707,0.019525448,-0.006691724
88,-0.034973565,-0.009389806,-0.007949827
89,-0.028620338,0.006056758,-0.009371519
90,-0.048847396,-0.017538734,-0.009374833
91,-0.05033515,-0.009899265,-0.004517257
92,0.00019502775,0.014121443,0.0034742174
93,0.014497978,0.0054096733,0.0020104488
94,-0.008454046,-0.015709227,-0.006157971
95,-0.027647996,-0.0009857059,-0.004724027
96,-0.023381349,-0.005286436,-0.009346495
97,-0.021202004,-0.0108443005,-0.0057088872
98,-0.022787109,-0.0029128066,-0.010947069
99,-0.0148811275,-0.0031515728,-0.0010998569
100,-0.040281743,-0.013129166,-0.007670629
101,-0.03719848,-0.00730734,-0.0081910435
102,-0.024326822,-0.0053588944,-0.00018355991
103,-0.0020797886,-0.011457791,0.00023707443
104,-0.011150144,-0.029822493,-0.0007277414
105,-0.04136758,0.0022271674,-0.011914253
106,-0.02504405,-0.020429756,-0.004499296
107,0.0026022086,0.009856541,-0.0049160747
108,-0.009512975,-0.015884534,-0.0057426896
109,-0.04531908,-0.03582032,-0.019420434
110,-0.030116998,-0.01003308,-0.008826061
111,-0.017092455,0.00045275246,-0.005767656
112,-0.024988472,0.016995827,-0.0072520445
113,-0.004599973,-0.013694029,-0.003951545
114,-0.025727907,0.013408912,-0.0030092497
115,-0.024679279,-0.0004577188,-0.011470254
116,-0.061821472,-0.020918272,-0.0053022606
117,-0.001097086,-0.013700587,-0.0042057526
118,-0.051988043,-0.031668287,-0.0163343
119,-0.05139118,-0.009090669,-0.013636195
120,-0.040762335,-0.028446471,-0.007520878
121,-0.048312426,-0.034997907,-0.011413826
122,-0.050243028,-0.03306966,-0.013052241
123,-0.017039744,0.008648115,0.0030704744
124,-0.0068684504,0.016149702,0.0012591233
125,-0.026026864,0.0012923938,-0.013839713
126,0.0029082606,-0.0074786115,-0.00565879
127,-0.03737198,-0.011999418,-0.007791008
128,-0.05654389,-0.009976527,-0.0052256524
129,-0.034745768,-0.023623716,-0.008276083
130,-0.020536778,0.013119629,-0.005625461
131,-0.04078029,-0.019359706,-0.012239227
