name_1,Mye,SC,BEN,GMV,NR
Mye,,0.539586644847118,0.3520106627276727,0.4520559169979343,0.37518825205603124
SC,0.539586644847118,,0.41619006013749293,0.5204309188549987,0.40242906986412164
BEN,0.3520106627276727,0.41619006013749293,,0.49510238278990676,0.43713612655255274
GMV,0.4520559169979343,0.5204309188549987,0.49510238278990676,,0.45547524419700547
NR,0.37518825205603124,0.40242906986412164,0.43713612655255274,0.45547524419700547,
