participant_id	n_clusters	silhouette_score	davies_bouldin_score	calinski_harabasz_score
100206	2	0.25168383	1.7350855280385775	492.6860854258916
100206	3	0.18277612	1.6742870123355005	447.2391209983735
100206	4	0.16979402	1.6784536634968288	395.4055898120501
100206	5	0.1708347	1.5344557159786043	369.9283619924551
100206	6	0.1745205	1.535585317192391	342.4781339236719
100307	2	0.33079427	1.225969707964949	987.0674455438624
100307	3	0.21220699	1.5615431498594596	727.359051852018
100307	4	0.18793063	1.6004285252965715	619.9421380096445
100307	5	0.17023422	1.6613756263014878	535.256406530857
100307	6	0.17360838	1.631807634614144	489.5102997355679
100408	2	0.28454858	1.4006751544013865	789.9987794056622
100408	3	0.23345569	1.41562398897951	675.0385858834389
100408	4	0.2375176	1.284429949634323	616.4500281452478
100408	5	0.23032738	1.3961205184331709	549.9863706157697
100408	6	0.19740562	1.4965536304671605	517.4897188246558
100610	2	0.28867003	1.3328786149636138	878.9442774838151
100610	3	0.19017507	1.763801538219791	622.8065387202811
100610	4	0.18447244	1.734101124987122	519.0953098207457
100610	5	0.17752412	1.6594033197979612	464.6248413745832
100610	6	0.18099461	1.6375988695941606	428.3219486374588
101006	2	0.2636519	1.489266606478632	711.2391579614592
101006	3	0.16965754	1.805122479833274	522.7128113719452
101006	4	0.16678622	1.8771960232759657	425.5769052535761
101006	5	0.15241909	1.861689389246271	374.7511726903903
101006	6	0.15427177	1.848881505953268	341.3211235970102
101107	2	0.3683386	1.0714865019848934	1262.7189982749533
101107	3	0.24894765	1.4500788585578726	917.5250734924708
101107	4	0.22222352	1.4092959327162404	833.7841420407098
101107	5	0.19154017	1.475899441139728	717.1698402167436
101107	6	0.17879224	1.5215774272042843	637.5507686536969
101309	2	0.24514943	1.4988087195928266	635.9915345104525
101309	3	0.20400316	1.7500961383506557	528.1198562409547
101309	4	0.17880145	1.803535595112062	444.66971042073936
101309	5	0.18601581	1.6607599974296872	387.4521126719821
101309	6	0.17475134	1.7490672773496243	352.9530317702462
101410	2	0.23003839	1.6659373693329314	575.5736906228195
101410	3	0.21948057	1.5129000999478623	551.0176327510603
101410	4	0.18002124	1.790000667717781	457.5988087886134
101410	5	0.17270797	1.760693891505679	412.6613875409384
101410	6	0.17144752	1.7612137727280877	370.1922278817082
102311	2	0.34489763	1.1012267932393327	1296.6773103284077
102311	3	0.2402733	1.374716027825305	978.6538796492136
102311	4	0.20809501	1.536254330768514	800.5443064174642
102311	5	0.20728399	1.5304891394089155	704.8067183861812
102311	6	0.19415887	1.5009044697815146	638.8105232165432
102513	2	0.26906	1.4846090598565178	688.5972352945845
102513	3	0.19851488	1.6245031026443202	552.380507923636
102513	4	0.17076047	1.673037648077676	461.832691534486
102513	5	0.14823952	1.7567085178043569	400.3843824737312
102513	6	0.13398373	1.9012344775646708	355.20124913720275
102816	2	0.23477404	1.595769232152898	627.9276062505227
102816	3	0.2062664	1.5948842437280104	535.1174951830883
102816	4	0.17522365	1.5394802393571188	450.9849121607238
102816	5	0.17662254	1.6286847390810906	416.61387945609215
102816	6	0.17234749	1.6055102292526433	377.00852820753727
103111	2	0.25164393	1.5806953575640097	591.098169658344
103111	3	0.22557066	1.5484529981398776	552.6646726219026
103111	4	0.21353221	1.55956157347982	459.9997232653045
103111	5	0.19980258	1.6424567091688715	417.45443014473375
103111	6	0.20837466	1.533937931294364	372.17368272615374
103414	2	0.31033123	1.2896780959483691	977.7584376535096
103414	3	0.20222135	1.7651301979162453	668.1794180162901
103414	4	0.19033964	1.7065727106940194	542.0106440068181
103414	5	0.15179193	1.935427357598936	461.6544389529811
103414	6	0.1445763	1.93654127238226	407.1418238764999
103515	2	0.3758268	1.0757382654710292	1359.6529311255626
103515	3	0.2508485	1.435792601751471	981.8098043628248
103515	4	0.25161535	1.356519719877706	874.9415235256575
103515	5	0.2402869	1.494442283550771	768.8669866414572
103515	6	0.21361725	1.4693278891035504	692.2342774162081
103818	2	0.34431964	1.1480110861384971	1226.6156204247166
103818	3	0.231709	1.5218713934357322	889.8393252278277
103818	4	0.21991365	1.6865258197154431	687.5898317972428
103818	5	0.20725237	1.8631117216909232	585.4537123461922
103818	6	0.18455029	1.7462962364919017	527.9778607690486
104012	2	0.31456622	1.2601643545934458	1005.0194641103344
104012	3	0.25519565	1.5055679364197845	742.4774716320442
104012	4	0.2390493	1.395424881025708	679.0280541694501
104012	5	0.2017196	1.6153037202903255	584.4499990615384
